Autorita (základná);Datovanie (interval);Datovanie (popis);Dátum zasadania komisie;Integrita (názov celku);Integrita (počet diel);Integrita (poradové číslo);Inventárne číslo;Katalogizované;Komisia;Kurátor;Materiál;Miery;Nadobudnuté;Názov (preferovaný);Názov (všetky);Organizácia;PID;Poznámka;Prírastkové číslo;Spôsob nadobudnutia;Stav Diela;Stav záznamu;Stupeň pôvodnosti;Stupeň pôvodnosti (ident. stavu);Stupeň pôvodnosti (počet stavov);Stupeň spracovania;Technika;Typ zbierky;Vlastník;Výtvarný druh;Zapisané do evidencie;Značenie;Žáner
"Neznámy rytec | Vos, Maarten de - autor predlohy";"1590 - 1600";"16. storočie, 2. polovica, 1590-1600";"1.1.1960";"Štyri ročné obdobia";;;"G 3187";;"39. NK";"Čičo, Martin";"papier, ručný, nažltlý";"výška 10.4 cm; šírka 13.4 cm";"1.1.1960";"Leto (2)";"Leto (2)";"SNG";"SVK:SNG.G_3187";"POZN: 
Lit.: Kordošová 1992, kat. 20;
Bludní Holanďania 2007, s. 87.
";"1948";"kúpa";"10, Slovenská národná galéria, SNG, SNG, digitalizácia, Hergott, Vladimír, Čičo, Martin, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"rytina";"Permanentná";"Slovenská národná galéria, SNG";"grafika, voľná";;"Signované vľavo dole pod obrazom: M. de Vos inuen. ; Signované vpravo dole pod obrazom: Phls Galle excud.; Nápis dole pod obrazom: AESTAS.; Vpravo dole: 2";"figurálna kompozícia"
"Neznámy rytec | Vos, Maarten de - autor predlohy";"1590 - 1600";"16. storočie, 2. polovica, 1590-1600";"1.1.1960";"Štyri ročné obdobia";;;"G 3188";;"39. NK";"Čičo, Martin";"papier, ručný, nažltlý";"výška 10.5 cm; šírka 13.3 cm";"1.1.1960";"Jeseň (3)";"Jeseň (3)";"SNG";"SVK:SNG.G_3188";"POZN: 
Lit.: Kordošová 1992, kat. 20;
Bludní Holanďania 2007, s. 87-88.
";"1948";"kúpa";"10, Slovenská národná galéria, SNG, SNG, digitalizácia, Hergott, Vladimír, Čičo, Martin, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"rytina";"Permanentná";"Slovenská národná galéria, SNG";"grafika, voľná";;"Signované vľavo dole: M. de Vos inuen. ; Signované vpravo dole : Phls Galle excud.; Nápis dole pod obrazom: AVTVMNVS.; Vpravo dole: 3";"figurálna kompozícia"
"Neznámy rytec | Vos, Maarten de - autor predlohy";"1590 - 1600";"16. storočie, 2. polovica, 1590-1600";"1.1.1960";"Štyri ročné obdobia";;;"G 3189";;"39. NK";"Čičo, Martin";"papier, ručný, nažltlý";"výška 10.4 cm; šírka 13.2 cm";"1.1.1960";"Zima (4)";"Zima (4)";"SNG";"SVK:SNG.G_3189";"POZN: 
Lit.: Kordošová 1992, kat. 20;
Bludní Holanďania 2007, s. 88. 
H XLVI, 1995, s. 187, 202-203, 206-207, 212-213. (k celému cyklu) 
H XLIV, 1996, s. 282-283 (k celému cyklu)
";"1948";"kúpa";"10, Slovenská národná galéria, SNG, SNG, digitalizácia, Hergott, Vladimír, Čičo, Martin, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"rytina";"Permanentná";"Slovenská národná galéria, SNG";"grafika, voľná";;"Signované vpravo dole pod obrazom: Phls Galle excud.; Signované vľavo dole pod obrazom: M. de Vos inuen. ; Nápis dole pod obrazom: HYEMS.; Vpravo dole: 4";"figurálna kompozícia"
"Callot, Jacques";"1629";"17. storočie, 1. polovica, 1629";"1.1.1961";;;;"G 3487";"1.1.1982";"45. NK";"Čičo, Martin";"papier, ručný, nažltlý";"výška 11.4 cm; šírka 21.6 cm; výška 11.8 cm; šírka 21.9 cm";"1.1.1961";"Malý pohľad z Paríža I.";"Malý pohľad z Paríža I. | Trh s otrokmi  (Názov uvádzaný v literatúre); The Slave Market  (Preklad názvu)";"SNG";"SVK:SNG.G_3487";"POZN: 

LIT:
111 diel zo zbierok. Slovenská národná galéria. Bratislava : SNG, Vyd. Slovart, 2008. 277 s. ISBN 9788080856014(viaz.), 90. ";"1484";"kúpa";"10, Slovenská národná galéria, SNG, digitalizácia, Čudrnák, Michal, Čudrnák, Michal, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"rytina";"Permanentná";"Slovenská národná galéria, SNG";"grafika, voľná";;"neznačené";"figurálna kompozícia"
"Callot, Jacques";"1629";"17. storočie, 1. polovica, 1629";"1.1.1961";;;;"G 3488";"1.1.1982";"45. NK";"Čičo, Martin";"papier, ručný, nažltlý";"výška 11.5 cm; šírka 21.7 cm; výška 12.1 cm; šírka 22.0 cm";"1.1.1961";"Malý pohľad z Paríža II.";"Malý pohľad z Paríža II. | Trh s otrokmi  (Názov uvádzaný v literatúre); The Slave Market  (Preklad názvu)";"SNG";"SVK:SNG.G_3488";"POZN: 

LIT:
111 diel zo zbierok. Slovenská národná galéria. Bratislava : SNG, Vyd. Slovart, 2008. 277 s. ISBN 9788080856014(viaz.), 91.";"2444";"kúpa";"10, Slovenská národná galéria, SNG, digitalizácia, Čudrnák, Michal, Čudrnák, Michal, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"rytina";"Permanentná";"Slovenská národná galéria, SNG";"grafika, voľná";;"vľavo dole: Callot f.A Paris 1629 Israel excudsiti";"figurálna kompozícia"
"Bolswert, Schelte | Dyck, Anthony van";"1610 - 1650";"17. storočie, 1. polovica, 1610-1650";"6.11.1952";;;;"G 35";"1.1.1982";"11. NK";"Čičo, Martin";"papier, ručný, zažltlý";"výška 41.4 cm; šírka 30.6 cm";"6.11.1952";"Opitý Silén";"Opitý Silén | Drunken Silenus (Preklad názvu)";"SNG";"SVK:SNG.G_35";"POZN: Cena:úhrnná,3 000,-Kčs za 7 graf.list.G 31-G 37

LIT:
Rusina, Ivan. Majstrovské diela nizozemského umenia na Slovensku. Bratislava : SNG, 2006, 26. ";"210";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"rytina, medirytina";"Permanentná";"Slovenská národná galéria, SNG";"grafika, voľná";;"vpravo dole: Nicolaus Lauwers Antveps; vľavo dole: Antonius van Dyck pinx.S.a Bolswert fecit";"figurálna kompozícia"
"Grund, Norbert Joseph Carl - autor predlohy | Balzer, Jan Jiří - grafik";"1760 - 1790";"18. storočie, 2. polovica, 1760-1790";;;;;"G 3619";"1.1.1982";;"Čičo, Martin";"papier, ručný, zahnedlý";"výška 14.3 cm; šírka 20.8 cm";"1.1.1961";"Kolkári";"Kolkári | Kolky (Predchádzajúci názov)";"SNG";"SVK:SNG.G_3619";"POZN: ";"229";"prevod";"10, Slovenská národná galéria, SNG, Bratisl..., digitalizácia, Čudrnák, Michal, Čudrnák, Michal, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"lept";"Permanentná";"Slovenská národná galéria, SNG";"grafika, voľná";;"Signované vľavo dole pod obrazom: Gemahlt von Norb. Grund. ; Vpravo dole pod obrazom: Gestochen von Johann Balzer; Nápis vľavo dole pod obrazom: Mit K.K. Freÿheit / nicht nach zustechen.
; Uprostred: Das Original Gemählde besitzt der Wohl Edelgebohrne Herr Emanuel Franz Joseph Itz. / verlegt in Paris Augspurg, Wien Prag und Leipzig.; Vľavo hore: 2tes Format ; Vpravo hore: 41.te Platte ";"krajina s figurálnou štafážou"
"Bloemaert, Cornelis | Blomaert, Hendrick";"1630 - 1670";"17. storočie, polovica, 1630-1670";"30.11.1961";;;;"G 3671";"1.1.1982";"47. NK";"Čičo, Martin";"papier, ručný, nažltlý";"výška 13.5 cm; šírka 18.9 cm; výška 13.6 cm; šírka 19.1 cm";"30.11.1961";"Zber úrody";"Zber úrody | Zelenina ; Vegetables (Harvest) (Preklad názvu)";"SNG";"SVK:SNG.G_3671";"POZN: 

LIT:
Rusina, Ivan. Majstrovské diela nizozemského umenia na Slovensku. Bratislava : SNG, 2006, 15.";"3054";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"rytina";"Permanentná";"Slovenská národná galéria, SNG";"grafika, voľná";;"vľavo hore: HB I ovem pinx CB fe";"figurálny motív"
"Clouwet, Peeter | Rubens, Peter Paul";"1660 - 1670";"17. storočie, 2. polovica, 1660-1670";"1.1.1965";;;;"G 4989";;"61. NK";"Čičo, Martin";"papier, zažltlý";"výška 47.2 cm; šírka 63.6 cm";"1.1.1965";"Zima";"Zima";"SNG";"SVK:SNG.G_4989";"POZN: ";"5546";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"lept";"Permanentná";"Slovenská národná galéria, SNG";"grafika, voľná";;"vľavo dole: Pet.Paul.Rubens pinxit Petr. Cloüet Sculpsit.Gillis Hendrickx excudit";"krajina"
"Waterloo, Antoni";"1640 - 1660";"17. storočie, polovica, 1650 okolo";"1.1.1965";;;;"G 5022";;"61. NK";"Čičo, Martin";"papier, zažltlý";"výška 28.5 cm; šírka 23.0 cm; výška 29.3 cm; šírka 24.0 cm";"1.1.1965";"Prechod cez potok (Hrbáčik) ";"Prechod cez potok (Hrbáčik) ";"SNG";"SVK:SNG.G_5022";"POZN: 
Lit.: Kordošová 1992, kat. 97; 
Bludní Holanďania 2007, s. 88;
H L, s. 279, kat. 121.
";"5580";"kúpa";"10, Slovenská národná galéria, SNG, SNG, digitalizácia, Hergott, Vladimír, Čičo, Martin, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"lept";"Permanentná";"Slovenská národná galéria, SNG";"grafika, voľná";;"v strede dole v obraze: signované: AW inventor et fecit

";"krajina s figurálnou štafážou"
"Masquelier, Louis Joseph | Teniers, David";"1760 - 1810";"18.-19. storočie, prelom, 1760-1810";"1.1.1965";;;;"G 5469";;"61. NK";"Čičo, Martin";"papier, ručný, zašedlý";"výška 22.7 cm; šírka 26.5 cm";"1.1.1965";"Pohľad na Flandry";"Pohľad na Flandry";"SNG";"SVK:SNG.G_5469";"POZN: Bas Jaques Philip le";"6229";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"lept, akvaforte";"Permanentná";"Slovenská národná galéria, SNG";"grafika, voľná";;"vľavo: Pinxit par D.Teniers; vpravo: Gravé par Masquelier et terminé au Bois par J.Ch.le Bas";"krajina"
"Bas, Jacques Philippe le | Martini, Pietro Antonio | Teniers, David - autor predlohy";"1758 - 1795";"18. storočie, 2. polovica, 1758-1795";"1.1.1965";;;;"G 5470";"1.1.1982";"61. NK";"Čičo, Martin";"papier, ručný, zažltlý";"výška 22.7 cm; šírka 26.5 cm";"1.1.1965";"Dedinský sviatok";"Dedinský sviatok";"SNG";"SVK:SNG.G_5470";"POZN: ";"6229";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"lept, akvaforte";"Permanentná";"Slovenská národná galéria, SNG";"grafika, voľná";;"vľavo dole: Peint par David Teniers; vpravo dole: 2 eau forte par Martini terminé par le Bas 1772; vľavo dole v obraze: D TENIERS Fec.";""
"Pedro, Francesco del | Teniers, David";"1760 - 1800";"18. storočie, 2. polovica, 1760-1800";"1.1.1968";;;;"G 5874";"1.1.1982";"74. NK";"Čičo, Martin";"papier, ručný, žltkastý";"výška 22.7 cm; šírka 17.5 cm; výška 26.5 cm; šírka 18.4 cm";"1.1.1968";"Fajčiar";"Fajčiar";"SNG";"SVK:SNG.G_5874";"POZN: ";"7519";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"rytina";"Permanentná";"Slovenská národná galéria, SNG";"grafika, voľná";;"vľavo dole: Teniers pinx. Fransus Pedro sculp. appud.Nic.Cavalli Venetus";""
"Beaumont, Pierre-Francois - grafik | Wouwerman, Philips - autor predlohy";"1740 - 1760";"18. storočie, polovica, 1740-1760";;;;;"G 6452";"1.1.1982";;"Čičo, Martin";"papier, ručný, hnedastý";"výška 23.9 cm; šírka 34.1 cm";;"Rybačka";"Rybačka";"SNG";"SVK:SNG.G_6452";"POZN: ";"8662";"kúpa";"10, Slovenská národná galéria, SNG, digitalizácia, Čudrnák, Michal, Čudrnák, Michal, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"lept";"Permanentná";"Slovenská národná galéria, SNG";"grafika, voľná";;"Signované vľavo dole pod obrazom: P. Wowermens pinx. ; Vpravo dole pod obrazom: Beaumont sculp. ; Nápis pod obrazom uprostred: LA PESCHE. Le Tableau de P. Wowermens a 19. pouces de long, sur 13. pouces et demie de hauts. Tiré du Cabinet de Monsieur de Jullienné. / A Paris chez Beaumont au milieu du Pont Nôtre-Dame au Griffon d’Or Couronné";"figurálna kompozícia"
"Le Veau, Jean Jacques André | Weirotter, Franz Edmund";"1750 - 1786";"18. storočie, 2. polovica, 1750-1786";"1.1.1971";;;;"G 7557";;"84. NK";"Čičo, Martin";"papier, ručný, žltkastý";"výška 17.1 cm; šírka 25.1 cm; výška 20.2 cm; šírka 27.0 cm; výška 20.6 cm; šírka 27.3 cm";"1.1.1971";"Marina";"Marina | Vue de Middelborg en Zéelande";"SNG";"SVK:SNG.G_7557";"POZN: ";"11056";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"rytina";"Permanentná";"Slovenská národná galéria, SNG";"grafika, voľná";;"vľavo dole: Weirotter del, Titul; vpravo: le Veau sculp a Paris aux 2.Piliers d`Or";"morská krajina"
"Pynacker, Adam - autor predlohy | Weisbrod, Carl Wilhelm - grafik | Le Bas, Jacques Philippe - grafik";"1773";"18. storočie, 2. polovica, 1773";;;;;"G 9819";;;"Čičo, Martin";"kartón";"výška 26.8 cm; šírka 35.8 cm; výška 31.4 cm; šírka 38.0 cm; výška 39.5 cm; šírka 54.1 cm";"12.10.1972";"Holandský rožný statok ";"Holandský rožný statok  | Stádo kráv (Predchádzajúci názov)";"SNG";"SVK:SNG.G_9819";"POZN: ";"18523";"prevod";"10, Slovenská národná galéria, SNG, SNG, digitalizácia, Hergott, Vladimír, Čičo, Martin, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"lept; rytina";"Permanentná";"Slovenská národná galéria, SNG";"grafika, voľná";;"Signované vľavo dole: Peint par Pinacker; Vpravo dole: Gravé à l’Eau forte par Ch. Weisbrodt, terminé par J. Ph. Le Bas 1773. ; Nápis dole pod obrazom: PÀTURAGE HOLLANDOIS. 
Du Cabinet de Mgr | Le Duc de Praslin. / Grandeuv Ovale | de 14. pouces suv 12. / A Paris et à Augsbourg chez Tessari et C°.";"animálna kompozícia"
"Müller, Ján Jakub";"1805 - 1810";"19. storočie, 1. polovica, 1805-1810";"1.1.1955";;;;"K 1053";"1.1.1980";"20. NK";"Beňová, Katarína";"kartón";"výška 33.2 cm; šírka 46.9 cm";"1.1.1955";"Krajina so spišským hradom";"Krajina so spišským hradom | Landscape with Spiš Castle  (Preklad názvu)";"SNG";"SVK:SNG.K_1053";"LIT:
111 diel zo zbierok. Slovenská národná galéria. Bratislava : SNG, Vyd. Slovart, 2008. 277 s. ISBN 9788080856014(viaz.), 130-131.
Dve krajiny, SNG : Bratislava 2014, kat. s. 210";"719/a";"kúpa";"10, digitalizácia, , , voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"tempera; gvaš";"Permanentná";"Slovenská národná galéria, SNG";"kresba, voľná";;"neznačené";"krajina s figurálnym motívom | Hrad | Ľudia | Obec | Polia"
"Libay, Karol Ľudovít";"1884";"19. storočie, 2. polovica, 1884";"23.5.1985";"list z náčrtníka";;;"K 16149";"1.1.1985";"164. NK";"Beňová, Katarína";"papier";"výška 19.2 cm; šírka 28.0 cm";"23.5.1985";"Banská Bystrica";"Banská Bystrica";"SNG";"SVK:SNG.K_16149";"POZN: 
Dve krajiny, SNG : Bratislava 2014, kat. s. 210";"25396";"kúpa";"10, Slovenská národná galéria, SNG, EP - de..., digitalizácia, Krajčovičová, Jana, Čudrnák, Michal, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"ceruza; akvarel";"Permanentná";"Slovenská národná galéria, SNG";"kresba, voľná";;"vľavo dole: 2..... Neusohl 6.8.84";"krajina s architektonickým motívom"
"Libay, Karol Ľudovít";"1884";"19. storočie, 2. polovica, 1884";"23.5.1985";"list z náčrtníka";;;"K 16150";"1.1.1985";"164. NK";"Beňová, Katarína";"papier";"výška 19.2 cm; šírka 28.0 cm";"23.5.1985";"Hron pri Banskej Bystrici";"Hron pri Banskej Bystrici";"SNG";"SVK:SNG.K_16150";"POZN: 
Dve krajiny, SNG : Bratislava 2014, kat. s. 210";"25397";"kúpa";"10, Slovenská národná galéria, SNG, EP - de..., digitalizácia, Krajčovičová, Jana, Čudrnák, Michal, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"ceruza; akvarel";"Permanentná";"Slovenská národná galéria, SNG";"kresba, voľná";;"vľavo dole: Neusohl 24.6.84; vpravo dole: ...in Neusohl";"krajina"
"Libay, Karol Ľudovít";"1886";"19. storočie, 2. polovica, 1886";"23.5.1985";"list z náčrtníka";;;"K 16152";"1.1.1985";"164. NK";"Beňová, Katarína";"papier";"výška 19.2 cm; šírka 28.0 cm";"23.5.1985";"Bašta banskobystrického opevnenia";"Bašta banskobystrického opevnenia";"SNG";"SVK:SNG.K_16152";"POZN: 
Dve krajiny, SNG : Bratislava 2014, kat. s. 210";"25399";"kúpa";"10, Slovenská národná galéria, SNG, EP - de..., digitalizácia, Krajčovičová, Jana, Čudrnák, Michal, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"ceruza; akvarel";"Permanentná";"Slovenská národná galéria, SNG";"kresba, voľná";;"vpravo dole: Neusohl ..... 8.8.86";"veduta"
"Libay, Karol Ľudovít";"1844";"19. storočie, 1. polovica, 1844";"23.5.1985";;;;"K 16160";"1.1.1985";"164. NK";"Beňová, Katarína";"kartón";"výška 20.1 cm; šírka 15.0 cm";"23.5.1985";"Vidiecka žena zo Salzburgu";"Vidiecka žena zo Salzburgu";"SNG";"SVK:SNG.K_16160";"POZN: ";"25407";"kúpa";"10, Slovenská národná galéria, SNG, digitalizácia, Krajčovičová, Jana, Hergott, Vladimír, voľným okom, vyhovujúce, podlepenie - papierová páska - pravý horný roh";"Dielo katalogizované";"originál";;;"DEF";"ceruza; akvarel";"Permanentná";"Slovenská národná galéria, SNG";"kresba, voľná";;"vpravo dole: Salzburg";"figurálna kompozícia"
"Zvěřina, František";"1855 - 1860";"19. storočie, 2. polovica, 1855-1860";"21.4.1959";;;;"K 2631";"1.1.1980";"35. NK";"Beňová, Katarína";"papier";"výška 64.2 cm; šírka 98.5 cm";"21.4.1959";"Pastieri - Dedinská idyla";"Pastieri - Dedinská idyla | Herdsmen - Village Idyl (Preklad názvu)";"SNG";"SVK:SNG.K_2631";"POZN: 16.úhrnná cena za 17 kresieb - viď  K 2631-K 2647 9./papier poškodený nalepený na plátne/";"1564/1";"kúpa";"";"Dielo katalogizované";"originál";;;"štúdia";"ceruza";"Permanentná";"Slovenská národná galéria, SNG";"kresba, prípravná";;"vpravo hore: ......Fa Zvěřina";""
"Zvěřina, František";"1855 - 1860";"19. storočie, 2. polovica, 1855-1860";"21.4.1959";;;;"K 2632";"1.1.1980";"35. NK";"Beňová, Katarína";"kartón";"výška 26.2 cm; šírka 31.1 cm";"21.4.1959";"Bača sediaci pred drevenou kolibou";"Bača sediaci pred drevenou kolibou | The Chief Shepherd Sitting in front of a Wooden Hut (Preklad názvu)";"SNG";"SVK:SNG.K_2632";"POZN: 16.viď kartu K 2631";"1564/2";"kúpa";"10, Slovenská národná galéria, SNG, EP - de..., digitalizácia, Krajčovičová, Jana, Čudrnák, Michal, voľným okom, vyhovujúce | 10, Stredoslovenská galéria, SGB, depozit..., digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"atrament; pero";"Permanentná";"Slovenská národná galéria, SNG";"kresba, voľná";;"neznačené";""
"Zvěřina, František";"1855 - 1860";"19. storočie, 2. polovica, 1855-1860";"21.4.1959";;;;"K 2633";"1.1.1980";"35. NK";"Beňová, Katarína";"papier";"výška 13.9 cm; šírka 10.0 cm";"21.4.1959";"Dedinskí muzikanti";"Dedinskí muzikanti | Village Musicians (Preklad názvu)";"SNG";"SVK:SNG.K_2633";"POZN: 16.viď kartu K 2631";"1564/3";"kúpa";"10, Slovenská národná galéria, SNG, EP - de..., digitalizácia, Krajčovičová, Jana, Čudrnák, Michal, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"štúdia";"ceruza";"Permanentná";"Slovenská národná galéria, SNG";"kresba, prípravná";;"neznačené";"figurálna kompozícia"
"Zvěřina, František";"1850 - 1860";"19. storočie, 2. polovica, 1850-1860";"21.4.1959";;;;"K 2634";"1.1.1980";"35. NK";"Beňová, Katarína";"kartón";"výška 15.2 cm; šírka 37.5 cm";"21.4.1959";"Skaly - Vatrisko v malom pustom poli";"Skaly - Vatrisko v malom pustom poli | Rocks - Bonfire in Small Empty Field (Preklad názvu)";"SNG";"SVK:SNG.K_2634";"POZN: 16.viď kartu K 2631";"1564/4";"kúpa";"10, Slovenská národná galéria, SNG, EP - de..., digitalizácia, Krajčovičová, Jana, Čudrnák, Michal, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"lavírovanie; tuš; ceruza";"Permanentná";"Slovenská národná galéria, SNG";"kresba, voľná";;"neznačené";"prírodný motív"
"Zvěřina, František";"1858";"19. storočie, 2. polovica, 1858";"21.4.1959";;;;"K 2635";"1.1.1980";"35. NK";"Beňová, Katarína";"kartón";"výška 15.2 cm; šírka 47.5 cm";"21.4.1959";"Panoráma Tatier";"Panoráma Tatier | Panorama of the Tatras (Preklad názvu)";"SNG";"SVK:SNG.K_2635";"POZN: 16.viď kartu K 2631                               11./zlepené v strede z dvoch kusov/";"1564/5";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"ceruza";"Permanentná";"Slovenská národná galéria, SNG";"kresba, voľná";;"vľavo dole: Zvěřina 18/6./58";"krajina"
"Zvěřina, František";"1855";"19. storočie, 2. polovica, 1855";"21.4.1959";;;;"K 2636";"1.1.1980";"35. NK";"Beňová, Katarína";"kartón";"výška 13.5 cm; šírka 22.4 cm";"21.4.1959";"Pastorále";"Pastorále | Pastorale (Preklad názvu)";"SNG";"SVK:SNG.K_2636";"POZN: 16.viď kartu K 2631";"1564/6";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"atrament; pero";"Permanentná";"Slovenská národná galéria, SNG";"kresba, voľná";;"vľavo dole: F.Zvěřina 1855";""
"Zvěřina, František";"1855 - 1860";"19. storočie, 2. polovica, 1855-1860";"21.4.1959";;;;"K 2637";"1.1.1980";"35. NK";"Beňová, Katarína";"kartón";"výška 15.0 cm; šírka 14.0 cm";"21.4.1959";"Odpočívajúci mladý pastier";"Odpočívajúci mladý pastier | Resting Young Herdsman (Preklad názvu)";"SNG";"SVK:SNG.K_2637";"POZN: 16.viď kartu K 2631";"1564/7";"kúpa";"10, Slovenská národná galéria, SNG, EP - de..., digitalizácia, Krajčovičová, Jana, Čudrnák, Michal, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"štúdia";"ceruza";"Permanentná";"Slovenská národná galéria, SNG";"kresba, prípravná";;"neznačené";""
"Zvěřina, František";"1855";"19. storočie, 2. polovica, 1855";"21.4.1959";;;;"K 2638";"1.1.1980";"35. NK";"Beňová, Katarína";"kartón";"výška 9.4 cm; šírka 13.8 cm";"21.4.1959";"Sediaci malý pastierik";"Sediaci malý pastierik | Seated Small Herdsboy (Preklad názvu)";"SNG";"SVK:SNG.K_2638";"POZN: 16.viď kartu K 2631";"1564/8";"kúpa";"";"Dielo katalogizované";"originál";;;"štúdia";"tuš; ceruza";"Permanentná";"Slovenská národná galéria, SNG";"kresba, prípravná";;"neznačené";"figurálna kompozícia"
"Zvěřina, František";"1855 - 1860";"19. storočie, 2. polovica, 1855-1860";"21.4.1959";;;;"K 2639";"1.1.1980";"35. NK";"Beňová, Katarína";"kartón";"výška 19.0 cm; šírka 20.7 cm";"21.4.1959";"Nádvorie oravského hradu";"Nádvorie oravského hradu | Courtyard of Orava Castle (Preklad názvu)";"SNG";"SVK:SNG.K_2639";"POZN: viď kartu K 2631                               kartón v hornej časti zlepený z dvoch kusov/";"1564/9";"kúpa";"10, Slovenská národná galéria, SNG, EP - de..., digitalizácia, Krajčovičová, Jana, Čudrnák, Michal, voľným okom, vyhovujúce | 10, Stredoslovenská galéria, SGB, depozit..., digitalizácia, Slúka, Miroslav, Slúka, Miroslav, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"lavírovanie; tuš; pero";"Permanentná";"Slovenská národná galéria, SNG";"kresba, voľná";;"vpravo dole: Zvěřina";"architektonický motív"
